Execution ID, Initial memory usage, Data memory usage, Computing memory usage, Final memory usage
f0a1a544-c419-4b2a-bcc3-64c2bd1bd3fd, 11028, 269100, 196844, 465944
ac3a5b41-2ab5-4370-9b81-d4bfed59eecb, 10776, 269096, 197356, 466452
271a4a79-a5a1-4e58-af96-aaa1e643b473, 10840, 271124, 199340, 470464
5713cd8d-6cb1-4915-92ae-debbaf559920, 10828, 273876, 198748, 472624
8726e813-21b5-4a24-a6d9-ba6678d43a3a, 11148, 266252, 196828, 463080
7ef5da51-99ac-4926-937a-21890fb266b0, 10804, 265608, 197160, 462768
97df26ae-e0dd-4515-83ee-ff41864d6b5c, 10864, 271940, 196852, 468792
900ad7c8-45b4-4132-9795-653189da9032, 10784, 279212, 199144, 478356
f6bf505d-079d-4f4a-a0bb-42632c275a27, 11044, 275380, , 286424
2da87cc6-38ea-410d-9a79-8fab740a0997, 10872, 289748, 181820, 471568
c14b16a9-ad3c-4448-ad2c-5d9290d7d47f, 10952, 289556, 181472, 471028
c37e3b12-5f29-4eee-ba0e-3fcbd50cd711, 10984, 274936, 183936, 458872
be9c5ec2-cfe2-471b-b39f-22b0850216da, 10932, 277536, 180960, 458496
b078d08a-af34-4811-9d17-8ecb917d85af, 11148, 286456, 181992, 468448
c0727569-09af-41f7-a617-db1827546111, 11140, 296820, , 307960
7172fe2d-2480-4f60-bd96-bada461874ac, 11160, 288096, 181352, 469448
71253609-7803-437c-b40c-6a96e15f7c27, 10860, 292376, 182016, 474392
29b171f5-3a46-41fe-bdd9-b2affb604f29, 10940, 302416, 181756, 484172
91d5abd6-2175-4e92-bf6d-7256b68ef51b, 11044, 295968, , 307012
ec25f3be-8d1a-4ea9-acdb-1c7626d9daf9, 10872, 316412, , 327284
ff17bfb4-de90-4a68-854f-f6d7f3489d39, 11036, 328200, , 339236
2c1fbba5-c8fd-4308-8560-4ba9a256bfae, 11096, 269100, , 280196
06c00abf-32f9-4317-9db4-79e8017aeb0e, 10928, 287088, , 298016
d02ba851-3f19-4ada-a3eb-47a189fb5b7d, 10748, 297824, , 308572
c0f65a5f-45f8-4f7a-947c-7f835d267634, 10948, 313180, , 324128
923536fb-4dbc-451e-b4ce-b3006c594fae, 10936, 325376, , 336312
f504b2cc-d7cc-45f5-ad48-43537131b1cd, 11056, 272336, 188192, 460528
af8c7d9b-3497-4358-87da-8e9adbff7841, 10780, 269020, 189340, 458360
4bb81220-4e09-4390-bb8f-a96992755dbc, 11028, 272016, 192304, 464320
e01c75ca-2f5d-41b2-b791-443b1ee4d30b, 10876, 269868, 189400, 459268
1b9f5496-6a61-450f-8a38-cd17759e9539, 11056, 271800, 187480, 459280
b92e6161-1c8b-401e-8431-3a614ee082bb, 10940, 266376, 187584, 453960
5cdd54ec-4383-4d72-aee2-74df49c70217, 10892, 266908, 188360, 455268
e65ad2c3-2816-48f5-802c-c2b93fc0344f, 10752, 264204, 187920, 452124
af6f2b81-1d65-4abb-8c11-7250454725f9, 10784, 262044, 187796, 449840
efb91a67-c5c0-489c-837d-31c2be9eb06e, 10768, 262660, , 273428
fbfb10f5-26ab-43db-baef-8ca6655d5d25, 10948, 278784, 187832, 466616
c4832696-6197-4a1a-bb8b-6cde021dda59, 10932, 268856, 187756, 456612
f7c033e8-6f12-41ad-9c0e-58e6126b7d81, 10880, 272696, 191872, 464568
e614a4f2-66cc-43b2-8475-2f948eaf41a1, 10868, 264552, 189588, 454140
c32c5b83-4f32-4405-b2c4-ef61e2d62405, 11052, 270936, 190096, 461032
0afcf74a-60bf-42d1-b4f7-28b58f5cef08, 10916, 274952, 185356, 460308
4a9c7de7-09b3-4332-b1cc-f2946ac483f2, 10848, 274856, 187188, 462044
a8d19f9e-6b78-4c8c-b78f-79a6f13563b5, 10836, 275092, 185704, 460796
b3c7799f-50bb-4d08-aa55-efcc70d2319b, 11048, 272296, , 283344
caf687bb-1216-46b0-8960-ea0eeddc9bd1, 11044, 289944, 192704, 482648
5030562b-6122-4222-b5be-2096c39d625b, 11120, 293908, 191444, 485352
8eabf26c-7efd-4e19-94fa-586b071a77b7, 11020, 286692, 191516, 478208
2c544d9e-78b3-49d4-9f4e-8fc6aff1997a, 10960, 288128, 189868, 477996
bd17c205-7a26-4163-9db9-d7107e9bf837, 10784, 284108, 190756, 474864
2654fde5-f6e8-4b93-9c4d-068bff4c6398, 11096, 290372, 189600, 479972
fab6fd1b-b4c7-4164-a739-b8dd545a7487, 11032, 288588, , 299620
a38962d5-9383-4da7-9059-918bfcd75a86, 10892, 306928, 193072, 500000
d9b770ad-50af-427d-a5b9-c5eee1839ee1, 11008, 300684, 190340, 491024
bb89bf41-3065-4487-b054-5c830cbbd1d8, 10828, 300164, 192964, 493128
9a97fd3e-ed56-40df-b02c-211d28a819f4, 10900, 311436, 190448, 501884
170d4f75-0de3-47cd-bea9-2443bcf7ae66, 10856, 313900, 188868, 502768
f5b88cd0-22a8-4794-a83a-c742e0d1efc8, 11104, 306292, 189152, 495444
3ecb3088-f387-443c-8a8d-92c18bae5646, 11048, 312748, , 323796
acb6a689-6faf-4a47-8683-5c1eac7df090, 10792, 333592, 188284, 521876
18e14048-fa1a-4eb2-8842-2d497afa7e2c, 10724, 335816, 185696, 521512
16945190-44a9-4930-8370-655142f24cdc, 10768, 319780, 189876, 509656
3d7ef5f1-7d8f-4231-a38f-c619b2f92494, 10728, 321904, 187924, 509828
e7666ce0-ef85-4a73-b053-076b97dfd085, 10920, 338324, , 349244
